reactant_xyz,product_xyz,barrier_kcal/mol
645666fd7765062bf256ede8,645666fd7765062bf256edeb,307.36967307908
6456670dec3e444acc1f8bd8,6456670dec3e444acc1f8bdb,306.920353472605
645667276b9a3050fc3eadd8,645667276b9a3050fc3eaddb,307.348464030465
645667297e21df65c07c7c48,645667297e21df65c07c7c4b,309.506074165772
6456672b48bc9622ac2a1578,6456672c48bc9622ac2a157b,312.051017961683
6456676650ccc61aeb333be8,6456676650ccc61aeb333beb,306.488891989489
6456676fee4dab7fd528a818,6456676fee4dab7fd528a81b,308.849373169162
64566785c47b016ce05b5c28,64566785c47b016ce05b5c2b,317.770704630483
645667d8e95ee83646610ab8,645667d9e95ee83646610abb,308.623643212314
645667e29035cf79e0051b88,645667e29035cf79e0051b8b,307.609990837078
645667e6be94f855f75ede08,645667e6be94f855f75ede0b,308.229587485125
645668ab6f810b2dd26a6038,645668ab6f810b2dd26a603b,309.120092112625
645668d9428082165d462278,645668d9428082165d46227b,308.482752337991
645668dcc1f2af5c8232dfd8,645668dcc1f2af5c8232dfdb,309.580239542164
6456694eb3ff027e85493a78,6456694fb3ff027e85493a7b,315.37096225427
6456699769469451b1324928,6456699769469451b132492b,310.157707423055
64566997da97fa60b34d91e8,64566997da97fa60b34d91eb,317.090886634686
645669c165029324a46c2b48,645669c165029324a46c2b4b,463.831195634248
64566a5643874f0cb5293428,64566a5743874f0cb529342b,316.917764864193
64566a69c536aa4c987cab88,64566a69c536aa4c987cab8b,316.442348053798
64566aff757ffe30295b5c28,64566aff757ffe30295b5c2b,309.161012099815
64566bb3c52ef6125a3eadd8,64566bb3c52ef6125a3eaddb,494.53378709156
6456648bfe88b64e785b5c28,6456648cfe88b64e785b5c2b,383.261333014327
6456648dfd4c4646382eaab8,6456648dfd4c4646382eaabb,385.305848965143
645665044cf5ca58aa4975b8,645665044cf5ca58aa4975bb,603.106419149408
6456650572b943160a4609e8,6456650572b943160a4609eb,603.13751530453
6456650da27d603d1a112998,6456650da27d603d1a11299b,603.932481938424
64566531f37ee25bfe111df8,64566531f37ee25bfe111dfb,603.575140673121
64566536e11d6d05454d3038,64566536e11d6d05454d303b,603.709512169317
645666528f159a035f1fea78,645666528f159a035f1fea7b,603.764482780247
64566656a97b5c78e9610ab8,64566656a97b5c78e9610abb,603.767619989824
